timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312767.6107,0.008752,0.004585,0.000000,0.000000,90.1620,90.0000,0.0011,0.009881,0.008752,0.004585,0.1620
1777312767.6445,-0.002619,-0.004102,0.000000,0.000000,89.9529,90.0000,0.0011,0.004867,-0.002619,-0.004102,-0.0471
1777312767.6445,-0.002619,-0.004102,0.000000,0.000000,89.9529,90.0000,0.0011,0.004867,-0.002619,-0.004102,-0.0471
1777312767.6783,0.007474,0.004121,0.000000,0.000000,90.1536,90.0000,0.0011,0.008535,0.007474,0.004121,0.1536
1777312767.7126,0.004106,0.002028,0.000000,0.000000,90.0800,90.0000,0.0011,0.004580,0.004106,0.002028,0.0800
1777312767.7126,0.004106,0.002028,0.000000,0.000000,90.0800,90.0000,0.0011,0.004580,0.004106,0.002028,0.0800
1777312767.7466,0.003787,0.000113,0.000000,0.000000,90.0717,90.0000,0.0011,0.003788,0.003787,0.000113,0.0717
1777312767.7466,0.003787,0.000113,0.000000,0.000000,90.0717,90.0000,0.0011,0.003788,0.003787,0.000113,0.0717
1777312767.7806,0.004050,-0.000338,0.000000,0.000000,90.0775,90.0000,0.0011,0.004064,0.004050,-0.000338,0.0775
1777312767.8147,0.010119,0.003526,0.000000,0.000000,90.1893,90.0000,0.0011,0.010716,0.010119,0.003526,0.1893
1777312767.8147,0.010119,0.003526,0.000000,0.000000,90.1893,90.0000,0.0011,0.010716,0.010119,0.003526,0.1893
1777312767.8147,0.010119,0.003526,0.000000,0.000000,90.1893,90.0000,0.0011,0.010716,0.010119,0.003526,0.1893
1777312767.8490,0.008006,0.014808,0.000000,0.000000,90.1630,90.0000,0.0011,0.016834,0.008006,0.014808,0.1630
1777312767.8826,0.013647,0.000582,0.000000,0.000000,90.2597,90.0000,0.0011,0.013660,0.013647,0.000582,0.2597
1777312767.9167,-0.002914,-0.000706,0.000000,0.000000,89.9478,90.0000,0.0011,0.002998,-0.002914,-0.000706,-0.0522
1777312767.9167,-0.002914,-0.000706,0.000000,0.000000,89.9478,90.0000,0.0011,0.002998,-0.002914,-0.000706,-0.0522
1777312767.9167,-0.002914,-0.000706,0.000000,0.000000,89.9478,90.0000,0.0011,0.002998,-0.002914,-0.000706,-0.0522
1777312767.9507,-0.000162,0.003453,0.000000,0.000000,89.9966,90.0000,0.0011,0.003457,-0.000162,0.003453,-0.0034
1777312767.9846,-0.011177,0.001224,0.000000,0.000000,89.7903,90.0000,0.0011,0.011244,-0.011177,0.001224,-0.2097
1777312768.0219,-0.004995,-0.000118,0.000000,0.000000,89.9097,90.0000,0.0011,0.004996,-0.004995,-0.000118,-0.0903
1777312768.0219,-0.004995,-0.000118,0.000000,0.000000,89.9097,90.0000,0.0011,0.004996,-0.004995,-0.000118,-0.0903
1777312768.0219,-0.004995,-0.000118,0.000000,0.000000,89.9097,90.0000,0.0011,0.004996,-0.004995,-0.000118,-0.0903
1777312768.0557,-0.005625,-0.000776,0.000000,0.000000,89.8965,90.0000,0.0011,0.005678,-0.005625,-0.000776,-0.1035
1777312768.0895,-0.000169,0.002850,0.000000,0.000000,90.0041,90.0000,0.0011,0.002855,-0.000169,0.002850,0.0041
1777312768.1259,0.006223,0.000025,0.000000,0.000000,90.1133,90.0000,0.0011,0.006223,0.006223,0.000025,0.1133
1777312768.1259,0.006223,0.000025,0.000000,0.000000,90.1133,90.0000,0.0011,0.006223,0.006223,0.000025,0.1133
1777312768.1259,0.006223,0.000025,0.000000,0.000000,90.1133,90.0000,0.0011,0.006223,0.006223,0.000025,0.1133
1777312768.1602,-0.000953,0.002503,0.000000,0.000000,89.9833,90.0000,0.0011,0.002678,-0.000953,0.002503,-0.0167
1777312768.1939,0.000063,-0.000475,0.000000,0.000000,89.9992,90.0000,0.0011,0.000479,0.000063,-0.000475,-0.0008
1777312768.2275,0.006095,0.000989,0.000000,0.000000,90.1130,90.0000,0.0011,0.006174,0.006095,0.000989,0.1130
1777312768.2275,0.006095,0.000989,0.000100,-0.000000,90.1130,90.0000,0.0012,0.006076,0.005995,0.000989,0.1130
1777312768.2275,0.006095,0.000989,0.000100,-0.000000,90.1130,90.0000,0.0012,0.006076,0.005995,0.000989,0.1130
1777312768.2625,0.007904,0.001507,0.000100,-0.000000,90.1519,90.0000,0.0012,0.007948,0.007804,0.001507,0.1519
1777312768.2966,0.002141,-0.000066,0.000100,-0.000000,90.0384,90.0000,0.0012,0.002042,0.002041,-0.000066,0.0384
1777312768.2966,0.002141,-0.000066,0.000000,0.000000,90.0384,90.0000,0.0013,0.002142,0.002141,-0.000066,0.0384
1777312768.3306,0.000508,0.000262,0.000000,0.000000,90.0101,90.0000,0.0013,0.000571,0.000508,0.000262,0.0101
1777312768.3306,0.000508,0.000262,0.000000,0.000000,90.0101,90.0000,0.0013,0.000571,0.000508,0.000262,0.0101
1777312768.3645,-0.000595,0.002004,0.000000,0.000000,89.9908,90.0000,0.0013,0.002090,-0.000595,0.002004,-0.0092
1777312768.3986,-0.001413,-0.000353,0.000000,0.000000,89.9776,90.0000,0.0013,0.001457,-0.001413,-0.000353,-0.0224
1777312768.3986,-0.001413,-0.000353,0.000000,0.000000,89.9776,90.0000,0.0013,0.001457,-0.001413,-0.000353,-0.0224
1777312768.4327,0.002693,0.006068,0.000000,0.000000,90.0592,90.0000,0.0013,0.006638,0.002693,0.006068,0.0592
1777312768.4327,0.002693,0.006068,0.000000,0.000000,90.0592,90.0000,0.0013,0.006638,0.002693,0.006068,0.0592
1777312768.4667,0.001704,0.008104,0.000000,0.000000,90.0344,90.0000,0.0013,0.008281,0.001704,0.008104,0.0344
1777312768.5005,-0.009404,-0.001258,0.000000,0.000000,89.8362,90.0000,0.0013,0.009488,-0.009404,-0.001258,-0.1638
1777312768.5005,-0.009404,-0.001258,0.000000,-0.000100,89.8362,90.0000,0.0014,0.009475,-0.009404,-0.001158,-0.1638
1777312768.5347,0.002318,0.005043,0.000000,-0.000100,90.0406,90.0000,0.0014,0.005642,0.002318,0.005143,0.0406
1777312768.5347,0.002318,0.005043,0.000000,-0.000100,90.0406,90.0000,0.0014,0.005642,0.002318,0.005143,0.0406
1777312768.5688,0.018009,0.005444,0.000000,-0.000100,90.3615,90.0000,0.0014,0.018843,0.018009,0.005544,0.3615
1777312768.6029,-0.000285,0.001092,0.000000,-0.000100,89.9799,90.0000,0.0014,0.001226,-0.000285,0.001192,-0.0201
1777312768.6029,-0.000285,0.001092,0.000000,-0.000100,89.9799,90.0000,0.0014,0.001226,-0.000285,0.001192,-0.0201
1777312768.6029,-0.000285,0.001092,0.000000,-0.000100,89.9799,90.0000,0.0014,0.001226,-0.000285,0.001192,-0.0201
1777312768.6370,0.000412,0.001650,0.000000,-0.000100,90.0104,90.0000,0.0014,0.001798,0.000412,0.001750,0.0104
1777312768.6711,-0.002759,-0.003400,0.000000,-0.000100,89.9470,90.0000,0.0014,0.004301,-0.002759,-0.003300,-0.0530
1777312768.7048,0.009712,0.001387,0.000000,-0.000100,90.1795,90.0000,0.0014,0.009825,0.009712,0.001487,0.1795
1777312768.7048,0.009712,0.001387,0.000100,-0.000000,90.1795,90.0000,0.0016,0.009711,0.009612,0.001387,0.1795
1777312768.7048,0.009712,0.001387,0.000100,-0.000000,90.1795,90.0000,0.0016,0.009711,0.009612,0.001387,0.1795
1777312768.7387,-0.001017,0.001235,0.000100,-0.000000,89.9898,90.0000,0.0016,0.001665,-0.001117,0.001235,-0.0102
1777312768.7728,0.017810,0.008010,0.000100,-0.000000,90.3616,90.0000,0.0016,0.019437,0.017710,0.008010,0.3616
1777312768.8068,0.013628,0.001833,0.000100,-0.000000,90.2538,90.0000,0.0016,0.013652,0.013528,0.001833,0.2538
1777312768.8068,0.013628,0.001833,0.000100,-0.000000,90.2538,90.0000,0.0016,0.013652,0.013528,0.001833,0.2538
1777312768.8068,0.013628,0.001833,0.000100,-0.000000,90.2538,90.0000,0.0016,0.013652,0.013528,0.001833,0.2538
1777312768.8410,-0.002723,0.000136,0.000100,-0.000000,89.9575,90.0000,0.0016,0.002826,-0.002823,0.000136,-0.0425
1777312768.8748,-0.000202,0.003784,0.000100,-0.000000,89.9979,90.0000,0.0016,0.003796,-0.000302,0.003784,-0.0021
1777312768.9088,0.001319,-0.002662,0.000100,-0.000000,90.0203,90.0000,0.0016,0.002928,0.001219,-0.002662,0.0203
1777312768.9088,0.001319,-0.002662,0.000000,0.000000,90.0203,90.0000,0.0017,0.002971,0.001319,-0.002662,0.0203
1777312768.9088,0.001319,-0.002662,0.000000,0.000000,90.0203,90.0000,0.0017,0.002971,0.001319,-0.002662,0.0203
1777312768.9429,0.002568,-0.000360,0.000000,0.000000,90.0489,90.0000,0.0017,0.002593,0.002568,-0.000360,0.0489
1777312768.9769,0.005458,0.000647,0.000000,0.000000,90.1027,90.0000,0.0017,0.005496,0.005458,0.000647,0.1027
1777312769.0107,0.005514,-0.003971,0.000000,0.000000,90.1003,90.0000,0.0017,0.006795,0.005514,-0.003971,0.1003
1777312769.0107,0.005514,-0.003971,0.000000,0.000000,90.1003,90.0000,0.0017,0.006795,0.005514,-0.003971,0.1003
1777312769.0107,0.005514,-0.003971,0.000000,0.000000,90.1003,90.0000,0.0017,0.006795,0.005514,-0.003971,0.1003
1777312769.0446,0.008543,0.010424,0.000000,0.000000,90.1729,90.0000,0.0017,0.013477,0.008543,0.010424,0.1729
1777312769.0788,0.000254,0.001706,0.000000,0.000000,90.0092,90.0000,0.0017,0.001725,0.000254,0.001706,0.0092
1777312769.1131,-0.006658,-0.001891,0.000000,0.000000,89.8840,90.0000,0.0017,0.006922,-0.006658,-0.001891,-0.1160
1777312769.1131,-0.006658,-0.001891,0.000100,-0.000000,89.8840,90.0000,0.0018,0.007018,-0.006758,-0.001891,-0.1160
1777312769.1131,-0.006658,-0.001891,0.000100,-0.000000,89.8840,90.0000,0.0018,0.007018,-0.006758,-0.001891,-0.1160
