timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312764.8954,,,-0.000000,0.000000,,,0.0000,,,,
1777312764.8954,,,-0.000000,0.000000,,0.0000,0.0000,,,,
1777312764.9955,,,-0.000000,0.000000,,0.0000,0.0000,,,,
1777312764.9955,,,-0.000000,0.000000,,0.0000,0.0000,,,,
1777312765.0953,,,-0.000000,0.000000,,0.0000,0.0000,,,,
1777312765.0953,,,-0.000000,0.000000,,0.0000,0.0000,,,,
1777312765.1952,,,0.000013,-0.000099,,0.0000,0.0001,,,,
1777312765.1952,,,0.000013,-0.000099,,0.0000,0.0001,,,,
1777312765.3033,,,-0.000099,-0.000013,,0.0000,0.0002,,,,
1777312765.3033,,,-0.000099,-0.000013,,0.0000,0.0002,,,,
1777312765.3979,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.3979,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.4968,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.4968,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.5974,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.5974,,,-0.000000,0.000000,,0.0000,0.0003,,,,
1777312765.6964,,,-0.000099,-0.000013,,0.0000,0.0004,,,,
1777312765.6964,,,-0.000099,-0.000013,,0.0000,0.0004,,,,
1777312765.7973,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312765.7973,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312765.9006,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312765.9006,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312765.9966,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312765.9966,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312766.1994,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312766.1994,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312766.3000,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312766.3000,,,-0.000000,0.000000,,0.0000,0.0005,,,,
1777312766.4020,,,-0.000099,-0.000013,,0.0000,0.0006,,,,
1777312766.4020,,,-0.000099,-0.000013,,0.0000,0.0006,,,,
1777312766.5023,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.5023,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.6011,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.6011,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.7048,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.7048,,,-0.000000,0.000000,,0.0000,0.0007,,,,
1777312766.8013,,,0.000013,-0.000099,,0.0000,0.0008,,,,
1777312766.8013,,,0.000013,-0.000099,,0.0000,0.0008,,,,
1777312766.9006,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312766.9006,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.0025,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.0025,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.1003,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.1003,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.1916,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.1916,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.2914,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.2914,,,-0.000000,0.000000,,0.0000,0.0009,,,,
1777312767.3047,-0.000765,-0.002347,-0.000000,0.000000,0.0439,0.0000,0.0009,0.002469,-0.000765,-0.002347,0.0439
1777312767.3047,-0.000765,-0.002347,-0.000000,0.000000,0.0439,0.0000,0.0009,0.002469,-0.000765,-0.002347,0.0439
1777312767.3047,-0.000765,-0.002347,-0.000000,0.000000,0.0439,0.0000,0.0009,0.002469,-0.000765,-0.002347,0.0439
1777312767.3388,-0.003880,-0.006257,-0.000000,0.000000,0.1121,0.0000,0.0009,0.007362,-0.003880,-0.006257,0.1121
1777312767.3726,0.002088,0.002824,-0.000000,0.000000,-0.0558,0.0000,0.0009,0.003512,0.002088,0.002824,-0.0558
1777312767.4066,0.001512,-0.007716,-0.000000,0.000000,0.1406,0.0000,0.0009,0.007863,0.001512,-0.007716,0.1406
1777312767.4066,0.001512,-0.007716,0.000013,-0.000099,0.1406,0.0000,0.0010,0.007763,0.001499,-0.007617,0.1406
1777312767.4066,0.001512,-0.007716,0.000013,-0.000099,0.1406,0.0000,0.0010,0.007763,0.001499,-0.007617,0.1406
1777312767.4406,-0.004919,0.012802,0.000013,-0.000099,-0.2434,0.0000,0.0010,0.013811,-0.004932,0.012901,-0.2434
1777312767.4746,-0.004648,0.015964,0.000013,-0.000099,-0.2895,0.0000,0.0010,0.016726,-0.004661,0.016063,-0.2895
1777312767.5088,0.000491,0.012951,0.000013,-0.000099,-0.2247,0.0000,0.0010,0.013059,0.000478,0.013050,-0.2247
1777312767.5088,0.000491,0.012951,-0.000000,0.000000,-0.2247,0.0000,0.0011,0.012960,0.000491,0.012951,-0.2247
1777312767.5088,0.000491,0.012951,-0.000000,0.000000,-0.2247,0.0000,0.0011,0.012960,0.000491,0.012951,-0.2247
1777312767.5427,-0.007163,0.005330,-0.000000,0.000000,-0.1028,0.0000,0.0011,0.008928,-0.007163,0.005330,-0.1028
1777312767.5766,-0.004914,0.009998,-0.000000,0.000000,-0.1874,0.0000,0.0011,0.011140,-0.004914,0.009998,-0.1874
1777312767.6107,0.002010,-0.000850,-0.000000,0.000000,0.0163,0.0000,0.0011,0.002182,0.002010,-0.000850,0.0163
1777312767.6107,0.002010,-0.000850,-0.000000,0.000000,0.0163,0.0000,0.0011,0.002182,0.002010,-0.000850,0.0163
1777312767.6107,0.002010,-0.000850,-0.000000,0.000000,0.0163,0.0000,0.0011,0.002182,0.002010,-0.000850,0.0163
1777312767.6445,-0.003559,0.004825,-0.000000,0.000000,-0.0876,0.0000,0.0011,0.005995,-0.003559,0.004825,-0.0876
1777312767.6783,-0.001282,-0.002350,-0.000000,0.000000,0.0489,0.0000,0.0011,0.002677,-0.001282,-0.002350,0.0489
1777312767.7126,0.000623,-0.000757,-0.000000,0.000000,0.0152,0.0000,0.0011,0.000980,0.000623,-0.000757,0.0152
1777312767.7126,0.000623,-0.000757,-0.000000,0.000000,0.0152,0.0000,0.0011,0.000980,0.000623,-0.000757,0.0152
1777312767.7126,0.000623,-0.000757,-0.000000,0.000000,0.0152,0.0000,0.0011,0.000980,0.000623,-0.000757,0.0152
1777312767.7466,0.006479,-0.000844,-0.000000,0.000000,0.0220,0.0000,0.0011,0.006534,0.006479,-0.000844,0.0220
1777312767.7806,-0.001462,0.001656,-0.000000,0.000000,-0.0323,0.0000,0.0011,0.002209,-0.001462,0.001656,-0.0323
1777312767.7806,-0.001462,0.001656,-0.000000,0.000000,-0.0323,0.0000,0.0011,0.002209,-0.001462,0.001656,-0.0323
1777312767.8147,0.000815,-0.003924,-0.000000,0.000000,0.0772,0.0000,0.0011,0.004008,0.000815,-0.003924,0.0772
1777312767.8147,0.000815,-0.003924,-0.000000,0.000000,0.0772,0.0000,0.0011,0.004008,0.000815,-0.003924,0.0772
1777312767.8490,-0.002004,-0.006758,-0.000000,0.000000,0.1202,0.0000,0.0011,0.007049,-0.002004,-0.006758,0.1202
1777312767.8826,-0.001632,-0.004440,-0.000000,0.000000,0.0785,0.0000,0.0011,0.004730,-0.001632,-0.004440,0.0785
1777312767.8826,-0.001632,-0.004440,-0.000000,0.000000,0.0785,0.0000,0.0011,0.004730,-0.001632,-0.004440,0.0785
1777312767.9167,-0.000877,0.004539,-0.000000,0.000000,-0.0867,0.0000,0.0011,0.004622,-0.000877,0.004539,-0.0867
1777312767.9167,-0.000877,0.004539,-0.000000,0.000000,-0.0867,0.0000,0.0011,0.004622,-0.000877,0.004539,-0.0867
1777312767.9507,0.002320,0.002964,-0.000000,0.000000,-0.0515,0.0000,0.0011,0.003764,0.002320,0.002964,-0.0515
1777312767.9846,-0.001293,0.004675,-0.000000,0.000000,-0.0867,0.0000,0.0011,0.004851,-0.001293,0.004675,-0.0867
1777312767.9846,-0.001293,0.004675,-0.000000,0.000000,-0.0867,0.0000,0.0011,0.004851,-0.001293,0.004675,-0.0867
1777312767.9846,-0.001293,0.004675,-0.000000,0.000000,-0.0867,0.0000,0.0011,0.004851,-0.001293,0.004675,-0.0867
1777312768.0219,-0.001766,0.019330,-0.000000,0.000000,-0.3654,0.0000,0.0011,0.019410,-0.001766,0.019330,-0.3654
1777312768.0557,-0.002385,0.007861,-0.000000,0.000000,-0.1355,0.0000,0.0011,0.008215,-0.002385,0.007861,-0.1355
1777312768.0895,-0.002736,0.013753,-0.000000,0.000000,-0.2550,0.0000,0.0011,0.014023,-0.002736,0.013753,-0.2550
1777312768.0895,-0.002736,0.013753,-0.000000,0.000000,-0.2550,0.0000,0.0011,0.014023,-0.002736,0.013753,-0.2550
1777312768.0895,-0.002736,0.013753,-0.000000,0.000000,-0.2550,0.0000,0.0011,0.014023,-0.002736,0.013753,-0.2550
1777312768.1259,0.000078,0.004964,-0.000000,0.000000,-0.0796,0.0000,0.0011,0.004965,0.000078,0.004964,-0.0796
1777312768.1602,-0.001751,0.004837,-0.000000,0.000000,-0.0843,0.0000,0.0011,0.005144,-0.001751,0.004837,-0.0843
1777312768.1939,-0.004589,0.008297,-0.000000,0.000000,-0.1542,0.0000,0.0011,0.009482,-0.004589,0.008297,-0.1542
1777312768.1939,-0.004589,0.008297,0.000013,-0.000099,-0.1542,0.0000,0.0012,0.009575,-0.004602,0.008397,-0.1542
1777312768.1939,-0.004589,0.008297,0.000013,-0.000099,-0.1542,0.0000,0.0012,0.009575,-0.004602,0.008397,-0.1542
1777312768.2275,-0.001682,-0.002458,0.000013,-0.000099,0.0476,0.0000,0.0012,0.002905,-0.001696,-0.002359,0.0476
1777312768.2625,-0.006319,0.003467,0.000013,-0.000099,-0.0644,0.0000,0.0012,0.007267,-0.006332,0.003566,-0.0644
1777312768.2625,-0.006319,0.003467,-0.000000,0.000000,-0.0644,0.0000,0.0013,0.007207,-0.006319,0.003467,-0.0644
1777312768.2625,-0.006319,0.003467,-0.000000,0.000000,-0.0644,0.0000,0.0013,0.007207,-0.006319,0.003467,-0.0644
