Thu Jun 11 15:48:29 2026    fastslam.prof_LORANSAC3

         26344788 function calls (26077589 primitive calls) in 114.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   458618    0.615    0.000    0.615    0.000 {method 'bit_length' of 'int' objects}
   131756    0.422    0.000    0.607    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
   429811    0.596    0.000    0.596    0.000 {built-in method math.log}
   389248    0.519    0.000    0.519    0.000 {built-in method numpy.asarray}
   325217    0.502    0.000    0.502    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:209(_assert_stacked_square)
   325217    0.484    0.000    0.484    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:203(_assert_stacked_2d)
   355445    0.472    0.000    0.472    0.000 {built-in method numpy.asanyarray}
   317384    0.463    0.000    0.463    0.000 {built-in method builtins.getattr}
   162677    0.376    0.000    0.462    0.000 {built-in method builtins.max}
   336139    0.462    0.000    0.462    0.000 {method 'get' of 'dict' objects}
   162608    0.451    0.000    0.451    0.000 {method 'astype' of 'numpy.generic' objects}
   325220    0.446    0.000    0.446    0.000 {built-in method _operator.index}
       70    0.440    0.006    0.440    0.006 {method 'detectAndCompute' of 'cv2.Feature2D' objects}
   325217    0.432    0.000    0.432    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:488(_unary_dispatcher)
    55922    0.162    0.000    0.427    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:215(_vhstack_dispatcher)
53114/53112    0.141    0.000    0.385    0.000 <frozen abc>:121(__subclasscheck__)
   279986    0.377    0.000    0.377    0.000 {built-in method builtins.round}
   270070    0.377    0.000    0.377    0.000 {method 'items' of 'dict' objects}
   162749    0.327    0.000    0.327    0.000 {built-in method numpy.zeros}
   209190    0.278    0.000    0.278    0.000 {method 'random' of '_random.Random' objects}
   162609    0.274    0.000    0.274    0.000 {method 'astype' of 'numpy.ndarray' objects}
   201340    0.268    0.000    0.268    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
    55922    0.168    0.000    0.265    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
   162609    0.257    0.000    0.257    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:130(get_linalg_error_extobj)
53114/53112    0.171    0.000    0.244    0.000 {built-in method _abc._abc_subclasscheck}
   162609    0.226    0.000    0.226    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
   131756    0.211    0.000    0.211    0.000 {method 'set' of '_contextvars.ContextVar' objects}
   131756    0.208    0.000    0.208    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
   131756    0.189    0.000    0.189    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   131756    0.180    0.000    0.180    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
       69    0.002    0.000    0.180    0.003 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:105(normalize_weights)
       69    0.000    0.000    0.178    0.003 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:116(get_best_particle)
       69    0.088    0.001    0.178    0.003 {built-in method builtins.sum}
